location_id,latitude,longitude,geoid_cb,county_fips
178405698,35.27633,-83.241401,370999505001043,37099
42615462,35.11587,-83.029679,370999509001092,37099
4494137,35.428877,-83.077467,370999502001004,37099
38523863,35.33941,-78.229705,371010413013015,37101
38336138,35.355962,-78.546316,371010414024005,37101
46661839,35.717622,-78.229045,371010402041002,37101
38503230,35.666063,-78.51905,371010411103000,37101
38333889,35.532821,-78.546411,371010415044000,37101
38791076,35.531259,-78.228763,371010404002005,37101
41834178,34.900712,-77.212623,371039201002012,37103
41901279,34.977416,-77.666952,371039203003054,37103
41687036,35.081668,-77.589014,371039203003003,37103
178795403,35.130745,-77.418909,371039203001045,37103
41874432,35.089601,-77.227436,371039202001068,37103
41832784,34.932323,-77.364726,371039202002096,37103
38003246,35.563375,-79.240066,371050306012004,37105
178763515,35.362091,-79.261178,371050305051011,37105
38004328,35.465804,-79.262167,371050306021031,37105
38028731,35.388076,-79.103297,371050305072009,37105
194698914,35.571999,-79.067436,371050307042029,37105
38340253,35.46538,-79.068645,371050307021044,37105
41903873,35.085169,-77.731062,371070112021034,37107
41676950,35.221197,-77.525153,371070114002032,37107
41829245,35.363109,-77.725988,371070110021006,37107
178059327,35.352879,-77.523903,371070101003005,37107
41686235,35.12929,-77.551595,371070114004020,37107
41825641,35.22257,-77.736422,371070110011062,37107
197251539,35.527886,-81.171912,371090709012005,37109
40384115,35.525991,-81.318893,371090707001005,37109
197290830,35.525802,-81.027887,371090711012018,37109
40385928,35.525816,-81.46306,371090706003021,37109
40035178,35.444005,-81.170986,371090710014011,37109
40080778,35.442441,-81.463722,371090705003038,37109
39872127,35.443354,-81.318204,371090704002010,37109
197431752,35.443663,-81.025412,371090711023005,37109
195885546,35.742293,-81.944812,371119702001001,37111
42562595,35.59961,-81.950638,371119709032015,37111
42595766,35.599652,-82.169656,371119708002048,37111
42556167,35.746126,-82.167916,371119707002000,37111
42558300,35.835037,-82.10164,371119701011020,37111
42556329,35.883614,-81.945728,371119701021061,37111
42638964,35.239609,-83.61317,371139702002019,37113
42501453,35.082587,-83.584187,371139702003081,37113
42496814,35.237927,-83.423734,371139702001020,37113
42597181,35.075358,-83.421918,371139707004004,37113
196545719,35.236717,-83.229608,371139704002000,37113
42521715,35.071974,-83.233838,371139705012061,37113
195732187,35.941353,-82.690221,371150101002014,37115
42674779,35.799513,-82.519604,371150106022063,37115
178064991,35.941487,-82.513314,371150101001023,37115
42569701,35.770626,-82.691552,371150105003032,37115
42525867,35.770073,-82.871728,371150102002051,37115
42526342,35.931113,-82.885611,371150102001018,37115
39519173,35.797005,-77.285809,371179706003040,37117
39575428,35.763082,-77.089232,371179705005010,37117
186771087,35.958484,-77.293914,371179704002028,37117
39436757,35.76806,-76.886931,371179701003013,37117
39577891,35.917396,-77.106417,371179704001000,37117
178758971,35.260894,-80.678432,371190056181013,37119
40818299,35.104883,-80.928047,371199802001045,37119
40593849,35.259831,-80.930555,371190043031006,37119
40015095,35.426866,-80.930485,371190062221003,37119
39997963,35.413998,-80.753665,371190063051014,37119
40135060,35.103389,-80.682357,371190058351005,37119
42517034,36.094317,-82.264804,371219501002012,37121
42516652,35.995007,-82.257756,371219501002069,37121
194999923,35.880501,-82.072603,371219504002021,37121
42363145,36.07926,-82.080396,371219502001000,37121
42364124,36.000952,-82.0792,371219502003000,37121
42362306,35.932747,-82.170623,371219502003050,37121
194329041,35.232973,-80.058418,371239604022030,37123
38106367,35.418076,-79.895012,371239602023004,37123
38060126,35.411818,-79.742744,371239601011048,37123
37817433,35.24063,-79.714509,371239605012006,37123
40253153,35.432688,-80.06749,371239603022025,37123
37939234,35.23914,-79.885702,371239605022035,37123
194696027,35.404497,-79.44447,371259501002039,37125
37817177,35.184819,-79.634511,371259503061081,37125
41347267,35.200643,-79.214536,371259505041081,37125
195960306,35.376241,-79.278505,371259505031000,37125
25635879,35.166744,-79.441967,371259507022031,37125
177967552,35.394626,-79.66252,371259502023025,37125
39329015,35.96922,-77.84017,371270105061001,37127
39363087,36.095177,-78.078501,371270109002007,37127
173574466,35.969861,-78.11167,371270110001011,37127
39570124,36.12216,-77.838994,371270108011009,37127
39373559,35.844842,-77.844325,371270112011050,37127
188987888,35.814872,-78.112815,371270114002009,37127
41467728,34.163884,-77.931487,371290121113005,37129
41665055,34.187553,-77.81059,371290118001012,37129
178016752,34.031261,-77.910554,371290122021013,37129
41495916,34.303608,-77.931216,371290115032092,37129
41444281,34.302516,-77.789462,371290116121002,37129
39391442,36.462151,-77.598374,371319203011015,37131
39393385,36.502681,-77.783326,371319204013002,37131
178339504,36.302568,-77.391599,371319203032011,37131
39612129,36.299909,-77.196117,371319202022046,37131
39525599,36.461613,-77.389558,371319201012028,37131
39434966,36.332437,-77.56525,371319203012033,37131
39491459,36.465465,-77.191035,371319201031053,37131
178103539,34.52383,-77.543932,371330004011041,37133
41763049,34.711147,-77.256855,371330025002018,37133
41577988,34.526833,-77.343944,371330004031015,37133
196182830,34.889072,-77.253783,371330001031028,37133
41790159,34.710496,-77.537251,371330003051019,37133
41912176,34.891894,-77.542587,371330002072048,37133
39222309,36.05037975,-79.028873,371350109043006,37135
38445246,35.924356,-79.187723,371350112112020,37135
38770717,36.179145,-79.03086,371350108025008,37135
194403558,36.177193,-79.188636,371350108041047,37135
38405953,35.924925,-79.031094,371350115001018,37135
37694311,36.051599,-79.187684,371350111072020,37135
70876489,35.075195,-76.598053,371379502023040,37137
41733219,35.056992,-76.906165,371379501011023,37137
177974765,35.18756,-76.725443,371379501041007,37137
193021908,35.046416,-76.744001,371379502041037,37137
41732818,35.180845,-76.852636,371379501013029,37137
41940305,35.247048,-76.582615,371379501042039,37137
39626429,36.179963,-76.170109,371399607023013,37139
39628982,36.235315,-76.314405,371399606003015,37139
39625594,36.295036,-76.374376,371399605032041,37139
39615211,36.352189,-76.229473,371399605012003,37139
39622834,36.286686,-76.190084,371399607013004,37139
39626964,36.405393,-76.370953,371399605032004,37139
41563672,34.407496,-77.887464,371419206021033,37141
173685670,34.408334,-77.641393,371419202011005,37141
41534576,34.617565,-78.134085,371419205011013,37141
41557373,34.636837,-77.643078,371419202042052,37141
41508892,34.409852,-78.131041,371419205021082,37141
41483453,34.618396,-77.887787,371419203001059,37141
39674746,36.238532,-76.320646,371439201021000,37143
39675171,36.156185,-76.386679,371439201022023,37143
39674680,36.147246,-76.261955,371439201023002,37143
46433611,36.14198,-76.523977,371439202011027,37143
39674479,36.290054,-76.397486,371439201011033,37143
178828521,36.289478,-76.527368,371439201011021,37143
38784224,36.386809,-79.06056,371459202003047,37145
178782201,36.286967,-79.06263,371459206021014,37145
178620210,36.287192,-78.88349,371459205003037,37145
38040989,36.488858,-79.062841,371459202002050,37145
38785094,36.388395,-78.885286,371459201004040,37145
38781600,36.495749,-78.88775,371459201001014,37145
41736171,35.430774,-77.47622,371470016012032,37147
39385041,35.588616,-77.536407,371470016021014,37147
39447904,35.744156,-77.539927,371470019003001,37147
39536595,35.746471,-77.24024,371470020025002,37147
39426214,35.418182,-77.240785,371470012002002,37147
39425664,35.584956,-77.240481,371470010023002,37147
42580067,35.3547,-82.286373,371499202013004,37149
42643841,35.242884,-82.028124,371499201012008,37149
42579500,35.352542,-82.156842,371499202022024,37149
178146125,35.243162,-82.293856,371499203031040,37149
