geoid_bg,n_points,mean_risk,median_risk,n_feasible,pct_feasible,n_infeasible,pct_low,pct_moderate,pct_high,pct_critical,dominant_mode
371459206021,1,0.0,0.0,1,100.0,0,100.0,0.0,0.0,0.0,clear
371470010023,1,76.4,76.4,0,0.0,1,0.0,0.0,0.0,100.0,building
371470012002,1,46.0,46.0,0,0.0,1,0.0,0.0,100.0,0.0,vegetation
371470016012,1,66.7,66.7,0,0.0,1,0.0,0.0,100.0,0.0,vegetation
371470016021,1,90.7,90.7,0,0.0,1,0.0,0.0,0.0,100.0,vegetation
371470019003,1,34.4,34.4,0,0.0,1,0.0,100.0,0.0,0.0,vegetation
371470020025,1,48.3,48.3,0,0.0,1,0.0,0.0,100.0,0.0,vegetation
371499201012,1,67.7,67.7,0,0.0,1,0.0,0.0,100.0,0.0,vegetation
371499201031,1,83.4,83.4,0,0.0,1,0.0,0.0,0.0,100.0,vegetation
371499201041,1,88.7,88.7,0,0.0,1,0.0,0.0,0.0,100.0,vegetation
371499202013,1,38.2,38.2,0,0.0,1,0.0,100.0,0.0,0.0,vegetation
371499202021,1,77.7,77.7,0,0.0,1,0.0,0.0,0.0,100.0,vegetation
371499202022,1,90.1,90.1,0,0.0,1,0.0,0.0,0.0,100.0,vegetation
371499203031,1,89.0,89.0,0,0.0,1,0.0,0.0,0.0,100.0,vegetation
371510301002,28,18.8,0.0,12,42.9,16,78.6,0.0,3.6,17.9,clear
371510305043,1,0.0,0.0,1,100.0,0,100.0,0.0,0.0,0.0,clear
371510307001,1,90.7,90.7,0,0.0,1,0.0,0.0,0.0,100.0,vegetation
371510308041,1,0.0,0.0,1,100.0,0,100.0,0.0,0.0,0.0,clear
371510309001,1,0.0,0.0,1,100.0,0,100.0,0.0,0.0,0.0,clear
371510310021,1,0.0,0.0,0,0.0,1,100.0,0.0,0.0,0.0,clear
371510314012,1,0.0,0.0,1,100.0,0,100.0,0.0,0.0,0.0,clear
371539701001,1,89.8,89.8,0,0.0,1,0.0,0.0,0.0,100.0,vegetation
371539702001,1,89.4,89.4,0,0.0,1,0.0,0.0,0.0,100.0,vegetation
371539702002,1,11.4,11.4,0,0.0,1,100.0,0.0,0.0,0.0,vegetation
371539708003,1,0.0,0.0,0,0.0,1,100.0,0.0,0.0,0.0,clear
371539708005,1,84.9,84.9,0,0.0,1,0.0,0.0,0.0,100.0,vegetation
371539711001,1,25.8,25.8,0,0.0,1,0.0,100.0,0.0,0.0,vegetation
371559601021,1,0.0,0.0,1,100.0,0,100.0,0.0,0.0,0.0,clear
371559604031,1,0.0,0.0,1,100.0,0,100.0,0.0,0.0,0.0,clear
371559613022,1,0.0,0.0,1,100.0,0,100.0,0.0,0.0,0.0,clear
371559616023,1,90.8,90.8,0,0.0,1,0.0,0.0,0.0,100.0,vegetation
371559619001,1,0.0,0.0,1,100.0,0,100.0,0.0,0.0,0.0,clear
371559619002,1,89.3,89.3,0,0.0,1,0.0,0.0,0.0,100.0,vegetation
371559620022,1,87.9,87.9,0,0.0,1,0.0,0.0,0.0,100.0,vegetation
371570401012,1,90.4,90.4,0,0.0,1,0.0,0.0,0.0,100.0,vegetation
371570406023,1,0.0,0.0,0,0.0,1,100.0,0.0,0.0,0.0,clear
371570410012,1,0.0,0.0,1,100.0,0,100.0,0.0,0.0,0.0,clear
371570411006,1,89.8,89.8,0,0.0,1,0.0,0.0,0.0,100.0,vegetation
371570413001,1,89.7,89.7,0,0.0,1,0.0,0.0,0.0,100.0,vegetation
371570416022,1,0.0,0.0,1,100.0,0,100.0,0.0,0.0,0.0,clear
371590509011,1,67.4,67.4,0,0.0,1,0.0,0.0,100.0,0.0,vegetation
371590509042,1,0.0,0.0,1,100.0,0,100.0,0.0,0.0,0.0,clear
371590511011,1,0.0,0.0,1,100.0,0,100.0,0.0,0.0,0.0,clear
371590513022,1,90.4,90.4,0,0.0,1,0.0,0.0,0.0,100.0,vegetation
371590518022,1,90.2,90.2,0,0.0,1,0.0,0.0,0.0,100.0,vegetation
371590519041,1,0.0,0.0,0,0.0,1,100.0,0.0,0.0,0.0,clear
371619601031,1,0.0,0.0,1,100.0,0,100.0,0.0,0.0,0.0,clear
371619602012,1,88.8,88.8,0,0.0,1,0.0,0.0,0.0,100.0,vegetation
371619602031,1,72.4,72.4,0,0.0,1,0.0,0.0,0.0,100.0,building
371619603012,1,51.3,51.3,0,0.0,1,0.0,0.0,100.0,0.0,vegetation
371619604004,1,87.8,87.8,0,0.0,1,0.0,0.0,0.0,100.0,vegetation
371619611041,1,0.0,0.0,1,100.0,0,100.0,0.0,0.0,0.0,clear
371639701022,1,43.3,43.3,0,0.0,1,0.0,100.0,0.0,0.0,vegetation
371639703032,2,0.0,0.0,2,100.0,0,100.0,0.0,0.0,0.0,clear
371639704023,1,88.4,88.4,0,0.0,1,0.0,0.0,0.0,100.0,vegetation
371639708023,1,46.9,46.9,0,0.0,1,0.0,0.0,100.0,0.0,vegetation
371639709002,1,89.5,89.5,0,0.0,1,0.0,0.0,0.0,100.0,vegetation
371639710031,1,86.4,86.4,0,0.0,1,0.0,0.0,0.0,100.0,vegetation
371650104002,2,0.0,0.0,2,100.0,0,100.0,0.0,0.0,0.0,clear
371650105011,1,0.0,0.0,1,100.0,0,100.0,0.0,0.0,0.0,clear
371650105023,1,75.6,75.6,0,0.0,1,0.0,0.0,0.0,100.0,vegetation
371650106011,1,0.0,0.0,1,100.0,0,100.0,0.0,0.0,0.0,clear
371650106021,1,82.9,82.9,0,0.0,1,0.0,0.0,0.0,100.0,vegetation
371650106022,1,16.9,16.9,0,0.0,1,100.0,0.0,0.0,0.0,vegetation
371679301013,2,45.0,45.0,1,50.0,1,50.0,0.0,0.0,50.0,vegetation
371679301023,1,0.0,0.0,1,100.0,0,100.0,0.0,0.0,0.0,clear
371679308022,1,0.0,0.0,1,100.0,0,100.0,0.0,0.0,0.0,clear
371679309011,1,90.3,90.3,0,0.0,1,0.0,0.0,0.0,100.0,vegetation
371679309012,1,90.7,90.7,0,0.0,1,0.0,0.0,0.0,100.0,vegetation
371679311012,1,12.1,12.1,0,0.0,1,100.0,0.0,0.0,0.0,vegetation
371690701012,1,0.0,0.0,1,100.0,0,100.0,0.0,0.0,0.0,clear
371690701022,1,89.8,89.8,0,0.0,1,0.0,0.0,0.0,100.0,vegetation
371690702001,1,90.5,90.5,0,0.0,1,0.0,0.0,0.0,100.0,vegetation
371690703012,1,90.4,90.4,0,0.0,1,0.0,0.0,0.0,100.0,vegetation
371690704003,1,11.0,11.0,0,0.0,1,100.0,0.0,0.0,0.0,vegetation
371690705041,1,0.0,0.0,1,100.0,0,100.0,0.0,0.0,0.0,clear
371690706003,1,0.0,0.0,1,100.0,0,100.0,0.0,0.0,0.0,clear
371719301021,1,90.7,90.7,0,0.0,1,0.0,0.0,0.0,100.0,vegetation
371719307004,1,0.0,0.0,1,100.0,0,100.0,0.0,0.0,0.0,clear
371719308033,1,90.3,90.3,0,0.0,1,0.0,0.0,0.0,100.0,vegetation
371719309011,1,0.0,0.0,1,100.0,0,100.0,0.0,0.0,0.0,clear
371719310032,1,0.0,0.0,1,100.0,0,100.0,0.0,0.0,0.0,clear
371719311031,1,0.0,0.0,1,100.0,0,100.0,0.0,0.0,0.0,clear
371739401001,1,0.0,0.0,1,100.0,0,100.0,0.0,0.0,0.0,clear
371739603012,1,0.0,0.0,0,0.0,1,100.0,0.0,0.0,0.0,clear
371739603021,1,90.4,90.4,0,0.0,1,0.0,0.0,0.0,100.0,vegetation
371739802001,2,68.0,68.0,0,0.0,2,0.0,0.0,50.0,50.0,vegetation
371759602011,1,90.8,90.8,0,0.0,1,0.0,0.0,0.0,100.0,vegetation
371759604011,1,0.0,0.0,1,100.0,0,100.0,0.0,0.0,0.0,clear
371759604031,1,90.2,90.2,0,0.0,1,0.0,0.0,0.0,100.0,vegetation
371759605011,1,89.9,89.9,0,0.0,1,0.0,0.0,0.0,100.0,vegetation
371759605021,1,90.1,90.1,0,0.0,1,0.0,0.0,0.0,100.0,vegetation
371759606021,1,90.1,90.1,0,0.0,1,0.0,0.0,0.0,100.0,vegetation
371779601001,1,22.5,22.5,0,0.0,1,0.0,100.0,0.0,0.0,vegetation
371779601003,4,3.9,0.0,3,75.0,1,100.0,0.0,0.0,0.0,clear
371779601004,1,0.0,0.0,1,100.0,0,100.0,0.0,0.0,0.0,clear
371790201002,1,24.3,24.3,0,0.0,1,0.0,100.0,0.0,0.0,vegetation
371790202052,1,0.0,0.0,1,100.0,0,100.0,0.0,0.0,0.0,clear
371790203143,1,53.7,53.7,0,0.0,1,0.0,0.0,100.0,0.0,vegetation
371790208005,1,0.0,0.0,1,100.0,0,100.0,0.0,0.0,0.0,clear
371790209011,1,0.0,0.0,0,0.0,1,100.0,0.0,0.0,0.0,clear
371790209021,1,32.6,32.6,0,0.0,1,0.0,100.0,0.0,0.0,vegetation
371790210141,1,90.7,90.7,0,0.0,1,0.0,0.0,0.0,100.0,vegetation
371790210151,1,86.0,86.0,0,0.0,1,0.0,0.0,0.0,100.0,vegetation
371819601001,1,0.0,0.0,1,100.0,0,100.0,0.0,0.0,0.0,clear
371819601003,1,0.0,0.0,1,100.0,0,100.0,0.0,0.0,0.0,clear
371819602001,1,0.0,0.0,1,100.0,0,100.0,0.0,0.0,0.0,clear
371819603002,1,0.0,0.0,1,100.0,0,100.0,0.0,0.0,0.0,clear
371819609012,1,0.0,0.0,1,100.0,0,100.0,0.0,0.0,0.0,clear
371819610002,1,0.0,0.0,1,100.0,0,100.0,0.0,0.0,0.0,clear
371830518003,1,0.0,0.0,1,100.0,0,100.0,0.0,0.0,0.0,clear
371830519001,5,45.1,27.3,1,20.0,4,40.0,20.0,0.0,40.0,vegetation
371830526021,49,25.6,0.0,15,30.6,34,59.2,16.3,2.0,22.4,clear
371830529031,1,90.0,90.0,0,0.0,1,0.0,0.0,0.0,100.0,vegetation
371830532081,1,0.0,0.0,0,0.0,1,100.0,0.0,0.0,0.0,clear
371830536141,1,86.6,86.6,0,0.0,1,0.0,0.0,0.0,100.0,vegetation
371830538062,1,58.9,58.9,0,0.0,1,0.0,0.0,100.0,0.0,vegetation
371830540011,1,93.2,93.2,0,0.0,1,0.0,0.0,0.0,100.0,vegetation
371830541062,1,93.3,93.3,0,0.0,1,0.0,0.0,0.0,100.0,vegetation
371830542142,1,90.6,90.6,0,0.0,1,0.0,0.0,0.0,100.0,vegetation
371830542181,1,0.0,0.0,0,0.0,1,100.0,0.0,0.0,0.0,clear
371830544023,1,0.0,0.0,1,100.0,0,100.0,0.0,0.0,0.0,clear
